group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
smaller-sample-size,depth 8,,,,2212016852.0,ns,1
smaller-sample-size,depth 8,,,,2153532606.0,ns,1
smaller-sample-size,depth 8,,,,2108983161.0,ns,1
smaller-sample-size,depth 8,,,,2036761744.0,ns,1
smaller-sample-size,depth 8,,,,2052864986.0,ns,1
smaller-sample-size,depth 8,,,,2109267940.0,ns,1
smaller-sample-size,depth 8,,,,2136664935.0,ns,1
smaller-sample-size,depth 8,,,,2149107317.0,ns,1
smaller-sample-size,depth 8,,,,2035397897.0,ns,1
smaller-sample-size,depth 8,,,,2010766942.0,ns,1
